Uniprot;EGF+I/Ctrl
Q9UQ35-1|Q9UQ35|A0AUK8|O60382|Q9UQ35-2|A6NKB9|Q05BI2|Q05CV9|Q9UQ39;0.5
Q9UQ35-1|Q9UQ35|A0AUK8|O60382|Q9UQ35-2|A6NKB9|Q05BI2|Q05CV9|Q9UQ39;0.5
Q9UQ35-1|Q9UQ35|A0AUK8|O60382|Q9UQ35-2|A6NKB9|Q05BI2|Q05CV9|Q9UQ39;0.5
Q9UQ35-1|Q9UQ35|A0AUK8|O60382|Q9UQ35-2|A6NKB9|Q05BI2|Q05CV9|Q9UQ39;0.5
Q9UQ35-1|Q9UQ35|A0AUK8|O60382|Q9UQ35-2|A6NKB9|Q05BI2|Q05CV9|Q9UQ39;0.6
Q9UQ35-1|Q9UQ35|A0AUK8|O60382|Q9UQ35-2|A6NKB9|Q05BI2|Q05CV9|Q9UQ39;0.6
Q9UQ35-1|Q9UQ35|A0AUK8|O60382|Q9UQ35-2|A6NKB9|Q05BI2|Q05CV9|Q9UQ39;0.6
Q9UQ35-1|Q9UQ35|A0AUK8|O60382|Q9UQ35-2|A6NKB9|Q05BI2|Q05CV9|Q9UQ39;0.6
Q9UQ35-1|Q9UQ35|A0AUK8|O60382|Q9UQ35-2|A6NKB9|Q05BI2|Q05CV9|Q9UQ39;0.6
Q9UQ35-1|Q9UQ35|A0AUK8|O60382|Q9UQ35-2|A6NKB9|Q05BI2|Q05CV9|Q9UQ39;0.6
Q9UQ35-1|Q9UQ35|A0AUK8|O60382|Q9UQ35-2|A6NKB9|Q05BI2|Q05CV9|Q9UQ39;0.7
Q9UQ35-1|Q9UQ35|A0AUK8|O60382|Q9UQ35-2|A6NKB9|Q05BI2|Q05CV9|Q9UQ39;0.7
Q9UQ35-1|Q9UQ35|A0AUK8|O60382|Q9UQ35-2|A6NKB9|Q05BI2|Q05CV9|Q9UQ39;0.7
Q9UQ35-1|Q9UQ35|A0AUK8|O60382|Q9UQ35-2|A6NKB9|Q05BI2|Q05CV9|Q9UQ39;0.7
Q9UQ35-1|Q9UQ35|A0AUK8|O60382|Q9UQ35-2|A6NKB9|Q05BI2|Q05CV9|Q9UQ39;0.7
Q9UQ35-1|Q9UQ35|A0AUK8|O60382|Q9UQ35-2|A6NKB9|Q05BI2|Q05CV9|Q9UQ39;0.7
Q9UQ35-1|Q9UQ35|A0AUK8|O60382|Q9UQ35-2|A6NKB9|Q05BI2|Q05CV9|Q9UQ39;0.7
Q9UQ35-1|Q9UQ35|A0AUK8|O60382|Q9UQ35-2|A6NKB9|Q05BI2|Q05CV9|Q9UQ39;0.7
Q9UQ35-1|Q9UQ35|A0AUK8|O60382|Q9UQ35-2|A6NKB9|Q05BI2|Q05CV9|Q9UQ39;0.7
Q9UQ35-1|Q9UQ35|A0AUK8|O60382|Q9UQ35-2|A6NKB9|Q05BI2|Q05CV9|Q9UQ39;0.7
Q9UQ35-1|Q9UQ35|A0AUK8|O60382|Q9UQ35-2|A6NKB9|Q05BI2|Q05CV9|Q9UQ39;0.7
Q9UQ35-1|Q9UQ35|A0AUK8|O60382|Q9UQ35-2|A6NKB9|Q05BI2|Q05CV9|Q9UQ39;0.7
Q9UQ35-1|Q9UQ35|A0AUK8|O60382|Q9UQ35-2|A6NKB9|Q05BI2|Q05CV9|Q9UQ39;0.7
Q9UQ35-1|Q9UQ35|A0AUK8|O60382|Q9UQ35-2|A6NKB9|Q05BI2|Q05CV9|Q9UQ39;0.8
Q9UQ35-1|Q9UQ35|A0AUK8|O60382|Q9UQ35-2|A6NKB9|Q05BI2|Q05CV9|Q9UQ39;0.8
Q9UQ35-1|Q9UQ35|A0AUK8|O60382|Q9UQ35-2|A6NKB9|Q05BI2|Q05CV9|Q9UQ39;0.8
Q9UQ35-1|Q9UQ35|A0AUK8|O60382|Q9UQ35-2|A6NKB9|Q05BI2|Q05CV9|Q9UQ39;0.8
Q9UQ35-1|Q9UQ35|A0AUK8|O60382|Q9UQ35-2|A6NKB9|Q05BI2|Q05CV9|Q9UQ39;0.8
Q9UQ35-1|Q9UQ35|A0AUK8|O60382|Q9UQ35-2|A6NKB9|Q05BI2|Q05CV9|Q9UQ39;0.8
Q9UQ35-1|Q9UQ35|A0AUK8|O60382|Q9UQ35-2|A6NKB9|Q05BI2|Q05CV9|Q9UQ39;0.8
Q9UQ35-1|Q9UQ35|A0AUK8|O60382|Q9UQ35-2|A6NKB9|Q05BI2|Q05CV9|Q9UQ39;0.8
Q9UQ35-1|Q9UQ35|A0AUK8|O60382|Q9UQ35-2|A6NKB9|Q05BI2|Q05CV9|Q9UQ39;0.8
Q9UQ35-1|Q9UQ35|A0AUK8|O60382|Q9UQ35-2|A6NKB9|Q05BI2|Q05CV9|Q9UQ39;0.8
Q9UQ35-1|Q9UQ35|A0AUK8|O60382|Q9UQ35-2|A6NKB9|Q05BI2|Q05CV9|Q9UQ39;0.8
Q9UQ35-1|Q9UQ35|A0AUK8|O60382|Q9UQ35-2|A6NKB9|Q05BI2|Q05CV9|Q9UQ39;0.8
